Time,Flow rate(ln/min)
179.2,0.4225
179.4,0.4212
179.6,0.4187
179.8,0.4156
180,0.4119
180.2,0.4081
180.4,0.4044
180.6,0.4
180.8,0.3962
181,0.3937
181.2,0.3925
181.4,0.3937
181.6,0.3981
181.8,0.4013
182,0.4044
182.2,0.4069
182.4,0.4094
182.6,0.4112
182.8,0.4131
183,0.4137
183.2,0.415
183.4,0.4169
183.6,0.4194
183.8,0.4225
184,0.4256
184.2,0.4294
184.4,0.4319
184.6,0.435
184.8,0.4387
185,0.445
185.2,0.4525
185.4,0.4612
185.6,0.47
185.8,0.4781
186,0.4869
186.2,0.4937
186.4,0.5006
186.6,0.5069
186.8,0.5112
187,0.515
187.2,0.5181
187.4,0.5206
187.6,0.5238
187.8,0.5269
188,0.53
188.2,0.5325
188.4,0.5344
188.6,0.5356
188.8,0.5356
189,0.5344
189.2,0.5325
189.4,0.5313
189.6,0.53
189.8,0.5288
190,0.5275
190.2,0.525
190.4,0.5225
190.6,0.5194
190.8,0.5163
191,0.515
191.2,0.5144
191.4,0.5144
191.6,0.5144
191.8,0.5144
192,0.515
192.2,0.515
192.4,0.5163
192.6,0.5169
192.8,0.5188
193,0.5213
193.2,0.5238
193.4,0.5263
193.6,0.5306
193.8,0.5375
194,0.5456
194.2,0.555
194.4,0.5644
194.6,0.5744
194.8,0.5831
195,0.5919
195.2,0.5987
195.4,0.6069
195.6,0.6156
195.8,0.6244
196,0.6319
196.2,0.6319
196.4,0.6444
196.6,0.6488
196.8,0.6438
